"","habitat","site","year","Acropora","Pocillopora","Porites"
"79","Forereef","LTER 3",2010,NA,3.78333333333333,0.884210526315789
"80","Fringing","LTER 3",2010,29.1,2.6,3.4969696969697
"81","Forereef","LTER 3",2011,NA,1.65714285714286,1.136
"82","Fringing","LTER 3",2011,18.6,NA,4.49473684210526
"83","Forereef","LTER 3",2012,0.6,2.08846153846154,1.68571428571429
"84","Fringing","LTER 3",2012,25.3333333333333,NA,4.15454545454545
"85","Forereef","LTER 3",2013,1.26666666666667,2.36842105263158,2.06190476190476
"86","Fringing","LTER 3",2013,26.05,NA,4.31818181818182
"87","Forereef","LTER 3",2014,0.825,4.0734693877551,1.81724137931034
"88","Fringing","LTER 3",2014,34.7666666666667,NA,4.25909090909091
"89","Forereef","LTER 3",2015,1.94545454545455,3.53076923076923,2.58787878787879
"90","Fringing","LTER 3",2015,20.98,NA,4.205
"91","Forereef","LTER 3",2016,2.61333333333333,4.62241379310345,2.3027027027027
"92","Fringing","LTER 3",2016,14.44,0.875,4.6
"93","Forereef","LTER 3",2017,2.63181818181818,6.90943396226415,3.51
"94","Fringing","LTER 3",2017,NA,NA,2.36428571428571
"95","Forereef","LTER 3",2018,3.31481481481481,9.06969696969697,4.628
"96","Fringing","LTER 3",2018,0.5,NA,3.41333333333333
"97","Forereef","LTER 3",2019,4.17142857142857,10.9588235294118,2.65135135135135
"98","Fringing","LTER 3",2019,NA,NA,4.48235294117647
"99","Forereef","LTER 3",2020,2.61481481481481,9.86142857142857,3.71951219512195
"100","Fringing","LTER 3",2020,NA,NA,2.43913043478261
"101","Forereef","LTER 3",2021,3.52894736842105,12.1782608695652,3.61470588235294
"102","Fringing","LTER 3",2021,NA,1.2,2.808
"103","Forereef","LTER 4",2005,8.17627118644068,24.9333333333333,3.06410256410256
"104","Fringing","LTER 4",2005,3.1,NA,4.97
"105","Forereef","LTER 4",2006,9.06140350877193,21.2,3.48823529411765
"106","Fringing","LTER 4",2006,6.6,NA,5.89
"107","Forereef","LTER 4",2007,7.81186440677966,20.9041666666667,3.17368421052632
"108","Fringing","LTER 4",2007,NA,NA,5.73809523809524
"109","Forereef","LTER 4",2008,6.72040816326531,17.7281690140845,2.04166666666667
"110","Fringing","LTER 4",2008,NA,0.5,7.004
"111","Forereef","LTER 4",2009,2.16,11.9775,2.08064516129032
"112","Fringing","LTER 4",2009,NA,NA,3.78235294117647
"113","Forereef","LTER 4",2010,1.05,8.01785714285714,1.10416666666667
"114","Fringing","LTER 4",2010,NA,NA,3.81111111111111
"115","Forereef","LTER 4",2011,0.866666666666667,3.27297297297297,1.17741935483871
"116","Fringing","LTER 4",2011,NA,NA,7.09230769230769
"117","Forereef","LTER 4",2012,1.1,1.97837837837838,1.66071428571429
"118","Fringing","LTER 4",2012,NA,NA,3.71428571428571
"119","Forereef","LTER 4",2013,1.57857142857143,2.93606557377049,1.72647058823529
"120","Fringing","LTER 4",2013,NA,NA,6.54
"121","Forereef","LTER 4",2014,1.8625,4.48055555555556,2.25116279069767
"122","Fringing","LTER 4",2014,NA,NA,6.16
"123","Forereef","LTER 4",2015,4.192,7.2027397260274,2.36382978723404
"124","Fringing","LTER 4",2015,NA,NA,6.74
"125","Forereef","LTER 4",2016,7.45,11.3621621621622,2.62105263157895
"126","Fringing","LTER 4",2016,3.7,22.2,4.59444444444444
"127","Forereef","LTER 4",2017,7.04242424242424,12.6652173913043,2.60925925925926
"128","Fringing","LTER 4",2017,4.9,0.5,8.1578947368421
"129","Forereef","LTER 4",2018,8.01333333333333,18.476,2.79807692307692
"130","Fringing","LTER 4",2018,NA,NA,8.86153846153846
"131","Forereef","LTER 4",2019,8.52040816326531,17.7041095890411,2.25172413793103
"132","Fringing","LTER 4",2019,NA,0.5,5.34
"133","Forereef","LTER 4",2020,6.08717948717949,17.2454545454545,1.97213114754098
"134","Fringing","LTER 4",2020,NA,NA,7.99444444444444
"135","Forereef","LTER 4",2021,5.57894736842105,15.8439393939394,2.9
"136","Fringing","LTER 4",2021,NA,NA,13.625
"137","Forereef","LTER 5",2005,6.90545454545455,15.844776119403,8.62448979591837
"138","Fringing","LTER 5",2005,3.025,NA,39.9212121212121
"139","Forereef","LTER 5",2006,8.24210526315789,18.4058823529412,8.90980392156863
"140","Fringing","LTER 5",2006,NA,NA,48.440625
"141","Forereef","LTER 5",2007,7.01481481481482,17.5297297297297,9.18775510204082
"142","Fringing","LTER 5",2007,NA,4.52,38.590625
"143","Forereef","LTER 5",2008,4.11481481481481,13.5352941176471,11.0589743589744
"144","Fringing","LTER 5",2008,0.5,1.7,43.3970588235294
"145","Forereef","LTER 5",2009,5.55,10.4159090909091,8.43
"146","Fringing","LTER 5",2009,NA,4.25,46.16875
"147","Forereef","LTER 5",2010,0.928571428571429,3.65,7.54857142857143
"148","Fringing","LTER 5",2010,NA,4.3,34.8029411764706
"149","Forereef","LTER 5",2011,0.875,2.94042553191489,6.60277777777778
"150","Fringing","LTER 5",2011,NA,NA,41.4564102564103
"151","Forereef","LTER 5",2012,1.16428571428571,2.8125,5.99
"152","Fringing","LTER 5",2012,NA,NA,40.8589743589744
"153","Forereef","LTER 5",2013,1.53636363636364,4.89672131147541,6.96444444444444
"154","Fringing","LTER 5",2013,NA,NA,31.0076923076923
"155","Forereef","LTER 5",2014,2.19310344827586,6.16764705882353,6.03333333333333
"156","Fringing","LTER 5",2014,NA,NA,31.16
"157","Forereef","LTER 5",2015,3.56129032258064,10.3661971830986,6.09830508474576
"158","Fringing","LTER 5",2015,NA,0.6,37.6333333333333
"159","Forereef","LTER 5",2016,4.27674418604651,12.0945945945946,8.028
